id,Annee,v1,v2,lat_v1,lng_v1,lat_v2,lng_v2,Dessertes,Pax_Total,Pax_reg,Pax_Non_rég,Fret_Total
135,1999,BALE-MULHOUSE,TOULOUSE,47.59,7.53,43.63,1.37,766,13199,12905,294,52
495,2014,BASTIA,BALE-MULHOUSE,42.55,9.48,47.59,7.53,50,5868,5601,267,0
605,2019,BASTIA,BALE-MULHOUSE,42.55,9.48,47.59,7.53,197,27573,27500,73,0
459,2014,BASTIA,BORDEAUX,42.55,9.48,44.83,-0.80,311,25118,24912,206,0
586,2019,BASTIA,BORDEAUX,42.55,9.48,44.83,-0.80,361,48849,48670,179,3
481,2014,BASTIA,BREST,42.55,9.48,48.45,-4.42,128,11309,10985,324,0
621,2019,BASTIA,BREST,42.55,9.48,48.45,-4.42,134,16248,16243,5,0
610,2019,BASTIA,CAEN,42.55,9.48,49.17,-0.45,161,21029,20958,71,0
473,2014,BASTIA,LILLE,42.55,9.48,50.56,3.09,192,16132,15704,428,0
591,2019,BASTIA,LILLE,42.55,9.48,50.56,3.09,330,39572,39217,355,3
105,1999,BASTIA,LYON,42.55,9.48,45.73,5.08,346,23799,20450,3349,4
221,2004,BASTIA,LYON,42.55,9.48,45.73,5.08,772,38500,38316,184,0.1
319,2009,BASTIA,LYON,42.55,9.48,45.73,5.08,868,69900,68190,1710,
448,2014,BASTIA,LYON,42.55,9.48,45.73,5.08,410,44235,43937,298,0
568,2019,BASTIA,LYON,42.55,9.48,45.73,5.08,809,91062,90932,130,4
47,1999,BASTIA,MARSEILLE,42.55,9.48,43.44,5.21,4360,251173,249092,2081,1235.4
185,2004,BASTIA,MARSEILLE,42.55,9.48,43.44,5.21,4174,250922,249789,1133,4705
296,2009,BASTIA,MARSEILLE,42.55,9.48,43.44,5.21,4198,249318,248966,352,3997.9
405,2014,BASTIA,MARSEILLE,42.55,9.48,43.44,5.21,3305,231665,231154,511,3436
540,2019,BASTIA,MARSEILLE,42.55,9.48,43.44,5.21,2970,260000,259552,448,2420
111,1999,BASTIA,MONTPELLIER,42.55,9.48,43.58,3.96,1139,21251,14885,6366,5
629,2019,BASTIA,MONTPELLIER,42.55,9.48,43.58,3.96,546,10562,10552,10,2737
440,2014,BASTIA,NANTES,42.55,9.48,47.16,-1.61,561,53521,51095,2426,6
567,2019,BASTIA,NANTES,42.55,9.48,47.16,-1.61,665,91239,91235,4,0
56,1999,BASTIA,NICE,42.55,9.48,43.67,7.21,3376,134381,134059,322,279.3
194,2004,BASTIA,NICE,42.55,9.48,43.67,7.21,2560,111420,111031,389,105.8
303,2009,BASTIA,NICE,42.55,9.48,43.67,7.21,2473,101649,101475,174,9.0
423,2014,BASTIA,NICE,42.55,9.48,43.67,7.21,2380,101248,100684,564,57
562,2019,BASTIA,NICE,42.55,9.48,43.67,7.21,1929,106406,106059,347,6
483,2014,BASTIA,STRASBOURG,42.55,9.48,48.54,7.63,135,10380,10380,0,0
597,2019,BASTIA,STRASBOURG,42.55,9.48,48.54,7.63,262,31871,31696,175,0
453,2014,BASTIA,TOULOUSE,42.55,9.48,43.63,1.37,274,29667,29532,135,0
585,2019,BASTIA,TOULOUSE,42.55,9.48,43.63,1.37,399,51213,51208,5,0
441,2014,BEAUVAIS,BEZIERS,49.45,2.11,43.32,3.35,362,52389,52389,0,0
578,2019,BEAUVAIS,BEZIERS,49.45,2.11,43.32,3.35,363,59433,59433,0,0
458,2014,BEAUVAIS,FIGARI,49.45,2.11,41.50,9.10,189,26703,26703,0,0
615,2019,BEAUVAIS,FIGARI,49.45,2.11,41.50,9.10,120,19607,19607,0,0
310,2009,BEAUVAIS,MARSEILLE,49.45,2.11,43.44,5.21,739,91633,91633,0,
641,2019,BIARRITZ,BALE-MULHOUSE,43.47,-1.53,47.59,7.53,42,5765,5761,4,0
144,1999,BIARRITZ,CLERMONT-FERRAND,43.47,-1.53,45.79,3.16,635,11049,10990,59,1
235,2004,BIARRITZ,CLERMONT-FERRAND,43.47,-1.53,45.79,3.16,1136,22544,22515,29,1.3
616,2019,BIARRITZ,LILLE,43.47,-1.53,50.56,3.09,153,19499,19485,14,0
81,1999,BIARRITZ,LYON,43.47,-1.53,45.73,5.08,1772,37952,37780,172,1
200,2004,BIARRITZ,LYON,43.47,-1.53,45.73,5.08,1811,79553,78743,810,0.8
300,2009,BIARRITZ,LYON,43.47,-1.53,45.73,5.08,1948,111777,111716,61,0.5
419,2014,BIARRITZ,LYON,43.47,-1.53,45.73,5.08,2003,113006,112607,399,0
553,2019,BIARRITZ,LYON,43.47,-1.53,45.73,5.08,1644,130620,130527,93,0
336,2009,BIARRITZ,MARSEILLE,43.47,-1.53,43.44,5.21,290,33436,33345,91,
462,2014,BIARRITZ,MARSEILLE,43.47,-1.53,43.44,5.21,215,23820,23778,42,0
619,2019,BIARRITZ,MARSEILLE,43.47,-1.53,43.44,5.21,150,16889,16804,85,0
116,1999,BIARRITZ,NICE,43.47,-1.53,43.67,7.21,724,18625,18603,227,0
489,2014,BIARRITZ,NICE,43.47,-1.53,43.67,7.21,151,7567,7524,43,0
627,2019,BIARRITZ,NICE,43.47,-1.53,43.67,7.21,142,11740,11691,49,0
486,2014,BIARRITZ,STRASBOURG,43.47,-1.53,48.54,7.63,110,8419,8419,0,0
420,2014,BORDEAUX,BALE-MULHOUSE,44.83,-0.80,47.59,7.53,775,110989,110898,91,0
552,2019,BORDEAUX,BALE-MULHOUSE,44.83,-0.80,47.59,7.53,917,137346,137308,38,0
488,2014,BORDEAUX,BREST,44.83,-0.80,48.45,-4.42,718,7653,7342,311,0
602,2019,BORDEAUX,BREST,44.83,-0.80,48.45,-4.42,1271,30199,29874,325,6
494,2014,BORDEAUX,CALVI,44.83,-0.80,42.52,8.79,87,5877,5877,0,0
100,1999,BORDEAUX,CLERMONT-FERRAND,44.83,-0.80,45.79,3.16,1658,28503,28499,4,4
238,2004,BORDEAUX,CLERMONT-FERRAND,44.83,-0.80,45.79,3.16,1162,21357,21337,20,2.1
480,2014,BORDEAUX,FIGARI,44.83,-0.80,41.50,9.10,178,12254,12212,42,0
604,2019,BORDEAUX,FIGARI,44.83,-0.80,41.50,9.10,241,28715,28670,45,0
80,1999,BORDEAUX,LILLE,44.83,-0.80,50.56,3.09,1216,38328,38172,156,1
217,2004,BORDEAUX,LILLE,44.83,-0.80,50.56,3.09,1671,51608,51428,180,1.3
323,2009,BORDEAUX,LILLE,44.83,-0.80,50.56,3.09,1764,60465,60240,225,1.0
415,2014,BORDEAUX,LILLE,44.83,-0.80,50.56,3.09,2077,136365,136210,155,0
543,2019,BORDEAUX,LILLE,44.83,-0.80,50.56,3.09,2454,227815,227533,282,1
49,1999,BORDEAUX,LYON,44.83,-0.80,45.73,5.08,3902,235262,234674,588,578.8
183,2004,BORDEAUX,LYON,44.83,-0.80,45.73,5.08,3000,258293,257852,441,6.4
290,2009,BORDEAUX,LYON,44.83,-0.80,45.73,5.08,4612,431680,431387,293,10.2
398,2014,BORDEAUX,LYON,44.83,-0.80,45.73,5.08,5534,458128,457386,742,0
531,2019,BORDEAUX,LYON,44.83,-0.80,45.73,5.08,5203,582186,581753,433,1
60,1999,BORDEAUX,MARSEILLE,44.83,-0.80,43.44,5.21,1954,123060,121470,1590,6
189,2004,BORDEAUX,MARSEILLE,44.83,-0.80,43.44,5.21,2398,137418,136959,459,2.3
297,2009,BORDEAUX,MARSEILLE,44.83,-0.80,43.44,5.21,3165,157902,157650,252,11.0
403,2014,BORDEAUX,MARSEILLE,44.83,-0.80,43.44,5.21,2774,243546,243080,466,0
534,2019,BORDEAUX,MARSEILLE,44.83,-0.80,43.44,5.21,3828,426631,426256,375,16
145,1999,BORDEAUX,METZ-NANCY,44.83,-0.80,48.98,6.25,840,10463,10293,170,0
101,1999,BORDEAUX,MONTPELLIER,44.83,-0.80,43.58,3.96,1384,27261,27066,195,24
634,2019,BORDEAUX,MONTPELLIER,44.83,-0.80,43.58,3.96,758,6756,6584,172,7
92,1999,BORDEAUX,NANTES,44.83,-0.80,47.16,-1.61,2053,32758,32130,628,146
226,2004,BORDEAUX,NANTES,44.83,-0.80,47.16,-1.61,2277,37411,36721,690,1133.3
342,2009,BORDEAUX,NANTES,44.83,-0.80,47.16,-1.61,2155,28332,27959,373,528.0
472,2014,BORDEAUX,NANTES,44.83,-0.80,47.16,-1.61,1371,16356,16109,247,89
630,2019,BORDEAUX,NANTES,44.83,-0.80,47.16,-1.61,867,7760,7488,272,6
62,1999,BORDEAUX,NICE,44.83,-0.80,43.67,7.21,3367,110954,101886,9068,2
205,2004,BORDEAUX,NICE,44.83,-0.80,43.67,7.21,1451,69227,68623,604,0.4
317,2009,BORDEAUX,NICE,44.83,-0.80,43.67,7.21,1367,75459,75187,272,0.4
411,2014,BORDEAUX,NICE,44.83,-0.80,43.67,7.21,1862,154431,153890,541,0
539,2019,BORDEAUX,NICE,44.83,-0.80,43.67,7.21,2008,270622,270041,581,0
146,1999,BORDEAUX,RENNES,44.83,-0.80,48.07,-1.73,639,10221,10128,93,0.2
248,2004,BORDEAUX,RENNES,44.83,-0.80,48.07,-1.73,1378,15656,15425,231,308.1
498,2014,BORDEAUX,RENNES,44.83,-0.80,48.07,-1.73,707,5439,5283,156,0
636,2019,BORDEAUX,RENNES,44.83,-0.80,48.07,-1.73,739,6524,6365,159,4
86,1999,BORDEAUX,STRASBOURG,44.83,-0.80,48.54,7.63,1710,35734,17958,17776,3
214,2004,BORDEAUX,STRASBOURG,44.83,-0.80,48.54,7.63,1693,55976,55627,349,1.4
326,2009,BORDEAUX,STRASBOURG,44.83,-0.80,48.54,7.63,1780,59186,59180,6,1.0
426,2014,BORDEAUX,STRASBOURG,44.83,-0.80,48.54,7.63,1552,86946,86946,0,0
554,2019,BORDEAUX,STRASBOURG,44.83,-0.80,48.54,7.63,942,129571,129336,235,0
626,2019,BREST,FIGARI,48.45,-4.42,41.50,9.10,103,12515,12430,85,0
642,2019,BREST,LILLE,48.45,-4.42,50.56,3.09,234,5231,4661,570,0
72,1999,BREST,LYON,48.45,-4.42,45.73,5.08,1689,49104,49062,42,4
206,2004,BREST,LYON,48.45,-4.42,45.73,5.08,1863,68502,68495,7,35.1
311,2009,BREST,LYON,48.45,-4.42,45.73,5.08,1878,91612,91612,0,21.0
413,2014,BREST,LYON,48.45,-4.42,45.73,5.08,2076,141517,141267,250,12
549,2019,BREST,LYON,48.45,-4.42,45.73,5.08,2127,166465,166089,376,0
242,2004,BREST,MARSEILLE,48.45,-4.42,43.44,5.21,504,19062,19059,3,0.1
307,2009,BREST,MARSEILLE,48.45,-4.42,43.44,5.21,644,93753,93753,0,
416,2014,BREST,MARSEILLE,48.45,-4.42,43.44,5.21,887,130286,130235,51,0
556,2019,BREST,MARSEILLE,48.45,-4.42,43.44,5.21,728,125173,124702,471,3
612,2019,BREST,MONTPELLIER,48.45,-4.42,43.58,3.96,150,20618,20541,77,0
95,1999,BREST,NANTES,48.45,-4.42,47.16,-1.61,2103,31600,31507,93,6
233,2004,BREST,NANTES,48.45,-4.42,47.16,-1.61,1363,23439,23438,1,3.2
143,1999,BREST,NICE,48.45,-4.42,43.67,7.21,494,11408,11408,,0
251,2004,BREST,NICE,48.45,-4.42,43.67,7.21,498,15485,15471,14,0.2
499,2014,BREST,NICE,48.45,-4.42,43.67,7.21,82,5396,5099,297,0
455,2014,BREST,TOULON,48.45,-4.42,43.10,6.15,209,28629,28627,2,0
603,2019,BREST,TOULON,48.45,-4.42,43.10,6.15,210,29269,29222,47,0
108,1999,BREST,TOULON,48.45,-4.42,43.10,6.15,211,22173,25,22148,0
255,2004,BREST,TOULON,48.45,-4.42,43.10,6.15,119,12351,,12351,
346,2009,BREST,TOULON,48.45,-4.42,43.10,6.15,225,26516,26516,0,
595,2019,BREST,TOULOUSE,48.45,-4.42,43.63,1.37,275,34734,34661,73,0
122,1999,CAEN,CLERMONT-FERRAND,49.17,-0.45,45.79,3.16,1020,16602,16574,28,3
618,2019,CAEN,FIGARI,49.17,-0.45,41.50,9.10,165,18554,18554,0,0
84,1999,CAEN,LYON,49.17,-0.45,45.73,5.08,1267,36057,36057,,0
203,2004,CAEN,LYON,49.17,-0.45,45.73,5.08,1880,76440,76398,42,1.7
318,2009,CAEN,LYON,49.17,-0.45,45.73,5.08,1832,73122,73122,0,0.3
428,2014,CAEN,LYON,49.17,-0.45,45.73,5.08,1666,82000,81940,60,0
558,2019,CAEN,LYON,49.17,-0.45,45.73,5.08,1661,111912,111796,116,0
580,2019,CAEN,MARSEILLE,49.17,-0.45,43.44,5.21,863,57402,57317,85,0
606,2019,CAEN,TOULOUSE,49.17,-0.45,43.63,1.37,197,25285,25211,74,0
638,2019,CALVI,BALE-MULHOUSE,42.52,8.79,47.59,7.53,44,6160,6155,5,0
635,2019,CALVI,LYON,42.52,8.79,45.73,5.08,115,6724,6670,54,0
74,1999,CALVI,MARSEILLE,42.52,8.79,43.44,5.21,1091,48511,48446,65,38
222,2004,CALVI,MARSEILLE,42.52,8.79,43.44,5.21,977,38437,38379,58,1.3
330,2009,CALVI,MARSEILLE,42.52,8.79,43.44,5.21,1316,53812,53795,17,1.5
439,2014,CALVI,MARSEILLE,42.52,8.79,43.44,5.21,1348,54579,54578,1,1
581,2019,CALVI,MARSEILLE,42.52,8.79,43.44,5.21,1125,56916,56886,30,1
479,2014,CALVI,NANTES,42.52,8.79,47.16,-1.61,164,12476,12476,0,0
88,1999,CALVI,NICE,42.52,8.79,43.67,7.21,1090,34157,33619,538,9
234,2004,CALVI,NICE,42.52,8.79,43.67,7.21,842,23300,23284,16,0.3
339,2009,CALVI,NICE,42.52,8.79,43.67,7.21,996,29952,29899,53,
456,2014,CALVI,NICE,42.52,8.79,43.67,7.21,919,27719,27690,29,4
601,2019,CALVI,NICE,42.52,8.79,43.67,7.21,808,30687,30611,76,6
476,2014,CHALONS,NICE,48.77,4.06,43.67,7.21,128,13240,12067,1173,0
136,1999,CLERMONT-FERRAND,DIJON,45.79,3.16,47.27,5.09,921,13037,12930,107,1
137,1999,CLERMONT-FERRAND,LA-ROCHELLE,45.79,3.16,46.18,-1.20,801,12885,12885,,2
142,1999,CLERMONT-FERRAND,LILLE,45.79,3.16,50.56,3.09,1244,11574,11573,1,0
252,2004,CLERMONT-FERRAND,LILLE,45.79,3.16,50.56,3.09,1118,15324,15241,83,5.2
356,2009,CLERMONT-FERRAND,LILLE,45.79,3.16,50.56,3.09,869,14522,14522,0,2.5
132,1999,CLERMONT-FERRAND,LIMOGES,45.79,3.16,45.86,1.18,1109,13912,13162,750,2
130,1999,CLERMONT-FERRAND,LYON,45.79,3.16,45.73,5.08,994,14445,14439,6,7
250,2004,CLERMONT-FERRAND,LYON,45.79,3.16,45.73,5.08,1068,15489,15454,35,17.0
347,2009,CLERMONT-FERRAND,LYON,45.79,3.16,45.73,5.08,1351,26503,26503,0,1.7
465,2014,CLERMONT-FERRAND,LYON,45.79,3.16,45.73,5.08,874,23114,23059,55,1
89,1999,CLERMONT-FERRAND,MARSEILLE,45.79,3.16,43.44,5.21,1669,33874,33829,45,6
236,2004,CLERMONT-FERRAND,MARSEILLE,45.79,3.16,43.44,5.21,1321,21773,21769,4,1.6
359,2009,CLERMONT-FERRAND,MARSEILLE,45.79,3.16,43.44,5.21,841,11873,11762,111,0.2
245,2004,CLERMONT-FERRAND,METZ-NANCY,45.79,3.16,48.98,6.25,1100,17886,17868,18,1.3
125,1999,CLERMONT-FERRAND,MONTPELLIER,45.79,3.16,43.58,3.96,1267,15763,15734,29,5
253,2004,CLERMONT-FERRAND,MONTPELLIER,45.79,3.16,43.58,3.96,994,14598,14590,8,0.1
82,1999,CLERMONT-FERRAND,NANTES,45.79,3.16,47.16,-1.61,1241,37537,37517,20,90
220,2004,CLERMONT-FERRAND,NANTES,45.79,3.16,47.16,-1.61,1982,46089,46083,6,20.5
350,2009,CLERMONT-FERRAND,NANTES,45.79,3.16,47.16,-1.61,997,21024,20984,40,4.4
97,1999,CLERMONT-FERRAND,NICE,45.79,3.16,43.67,7.21,1081,30844,30786,58,1
243,2004,CLERMONT-FERRAND,NICE,45.79,3.16,43.67,7.21,720,18159,18151,8,0.2
352,2009,CLERMONT-FERRAND,NICE,45.79,3.16,43.67,7.21,634,17918,17725,193,0.1
484,2014,CLERMONT-FERRAND,NICE,45.79,3.16,43.67,7.21,261,9211,9126,85,0
120,1999,CLERMONT-FERRAND,PAU,45.79,3.16,43.38,-0.42,1044,17185,16879,306,5
126,1999,CLERMONT-FERRAND,POITIERS,45.79,3.16,46.59,0.31,1039,15552,15473,79,3
96,1999,CLERMONT-FERRAND,RENNES,45.79,3.16,48.07,-1.73,1455,31016,30862,154,8
112,1999,CLERMONT-FERRAND,STRASBOURG,45.79,3.16,48.54,7.63,1049,20224,20215,9,7
240,2004,CLERMONT-FERRAND,STRASBOURG,45.79,3.16,48.54,7.63,1120,20040,19933,107,3.0
361,2009,CLERMONT-FERRAND,STRASBOURG,45.79,3.16,48.54,7.63,750,11439,11357,82,0.3
113,1999,CLERMONT-FERRAND,TOULON,45.79,3.16,43.10,6.15,1006,19973,19902,71,1
110,1999,CLERMONT-FERRAND,TOULOUSE,45.79,3.16,43.63,1.37,1884,21345,21203,142,7
237,2004,CLERMONT-FERRAND,TOULOUSE,45.79,3.16,43.63,1.37,1130,21515,21465,50,3.9
640,2019,FIGARI,BALE-MULHOUSE,41.50,9.10,47.59,7.53,51,5776,5761,15,0
600,2019,FIGARI,LILLE,41.50,9.10,50.56,3.09,262,31320,31312,8,0
485,2014,FIGARI,LYON,41.50,9.10,45.73,5.08,112,8892,8885,7,0
592,2019,FIGARI,LYON,41.50,9.10,45.73,5.08,380,39419,39266,153,0
65,1999,FIGARI,MARSEILLE,41.50,9.10,43.44,5.21,1501,74107,74051,56,12
208,2004,FIGARI,MARSEILLE,41.50,9.10,43.44,5.21,1629,63799,63513,286,0.1
309,2009,FIGARI,MARSEILLE,41.50,9.10,43.44,5.21,1983,91720,91389,331,2.8
424,2014,FIGARI,MARSEILLE,41.50,9.10,43.44,5.21,2115,97356,97187,169,2
569,2019,FIGARI,MARSEILLE,41.50,9.10,43.44,5.21,1554,89046,88998,48,1
466,2014,FIGARI,NANTES,41.50,9.10,47.16,-1.61,252,22159,22143,16,0
584,2019,FIGARI,NANTES,41.50,9.10,47.16,-1.61,375,52323,52297,26,0
78,1999,FIGARI,NICE,41.50,9.10,43.67,7.21,827,40126,40036,90,0
227,2004,FIGARI,NICE,41.50,9.10,43.67,7.21,996,33938,33763,175,0.6
332,2009,FIGARI,NICE,41.50,9.10,43.67,7.21,1139,43753,43599,154,0.3
446,2014,FIGARI,NICE,41.50,9.10,43.67,7.21,1162,45554,45353,201,0
588,2019,FIGARI,NICE,41.50,9.10,43.67,7.21,1032,46250,45998,252,6
613,2019,FIGARI,STRASBOURG,41.50,9.10,48.54,7.63,173,19963,19945,18,0
607,2019,FIGARI,TOULOUSE,41.50,9.10,43.63,1.37,230,25189,25147,42,0
355,2009,LA-ROCHELLE,LYON,46.18,-1.20,45.73,5.08,954,15194,15024,170,
470,2014,LA-ROCHELLE,LYON,46.18,-1.20,45.73,5.08,991,17962,17598,364,0
611,2019,LA-ROCHELLE,LYON,46.18,-1.20,45.73,5.08,939,20752,19323,1429,0
114,1999,LE-HAVRE,LYON,49.53,0.09,45.73,5.08,1227,19404,9586,9818,1
241,2004,LE-HAVRE,LYON,49.53,0.09,45.73,5.08,1319,19398,19320,78,0.3
351,2009,LE-HAVRE,LYON,49.53,0.09,45.73,5.08,1219,18594,18594,0,
124,1999,LE-HAVRE,NANTES,49.53,0.09,47.16,-1.61,1248,15963,15529,434,4
193,2004,LILLE,LYON,50.56,3.09,45.73,5.08,2044,112880,112877,3,3.3
306,2009,LILLE,LYON,50.56,3.09,45.73,5.08,1789,94036,94018,18,3.6
431,2014,LILLE,LYON,50.56,3.09,45.73,5.08,1937,70190,69939,251,0
570,2019,LILLE,LYON,50.56,3.09,45.73,5.08,1572,86629,86194,435,0
64,1999,LILLE,MARSEILLE,50.56,3.09,43.44,5.21,2382,82487,82086,401,16
195,2004,LILLE,MARSEILLE,50.56,3.09,43.44,5.21,2272,100690,100439,251,0.8
292,2009,LILLE,MARSEILLE,50.56,3.09,43.44,5.21,3206,296210,296080,130,0.2
402,2014,LILLE,MARSEILLE,50.56,3.09,43.44,5.21,2275,259514,259281,233,1
544,2019,LILLE,MARSEILLE,50.56,3.09,43.44,5.21,2272,220535,220333,202,7
91,1999,LILLE,MONTPELLIER,50.56,3.09,43.58,3.96,1292,33804,33785,19,4
468,2014,LILLE,MONTPELLIER,50.56,3.09,43.58,3.96,469,20766,20498,268,94
593,2019,LILLE,MONTPELLIER,50.56,3.09,43.58,3.96,309,38431,37838,593,91
107,1999,LILLE,NANTES,50.56,3.09,47.16,-1.61,1327,22508,22273,235,0
228,2004,LILLE,NANTES,50.56,3.09,47.16,-1.61,1431,30823,30269,554,0.7
338,2009,LILLE,NANTES,50.56,3.09,47.16,-1.61,1391,30368,30218,150,0.3
444,2014,LILLE,NANTES,50.56,3.09,47.16,-1.61,1389,48443,48303,140,0
564,2019,LILLE,NANTES,50.56,3.09,47.16,-1.61,1728,103874,103704,170,0
55,1999,LILLE,NICE,50.56,3.09,43.67,7.21,2814,143481,139099,4382,4
196,2004,LILLE,NICE,50.56,3.09,43.67,7.21,1487,94611,90335,4276,0.6
302,2009,LILLE,NICE,50.56,3.09,43.67,7.21,1391,106451,103450,3001,0.3
408,2014,LILLE,NICE,50.56,3.09,43.67,7.21,1374,183702,183236,466,0
537,2019,LILLE,NICE,50.56,3.09,43.67,7.21,2089,312722,312049,673,0
138,1999,LILLE,RENNES,50.56,3.09,48.07,-1.73,1092,12450,11899,551,0
70,1999,LILLE,STRASBOURG,50.56,3.09,48.54,7.63,1640,53335,53165,170,9
